iter	Passed	Remaining
0	14	1451
1	40	1976
2	53	1719
3	76	1840
4	89	1704
5	113	1772
6	124	1658
7	135	1561
8	146	1484
9	169	1529
10	181	1467
11	191	1403
12	203	1363
13	224	1381
14	236	1341
15	247	1300
16	259	1267
17	270	1232
18	281	1201
19	292	1170
20	314	1184
21	327	1160
22	348	1168
23	360	1142
24	382	1146
25	402	1144
26	415	1122
27	425	1094
28	435	1065
29	457	1068
30	471	1049
31	482	1024
32	492	1000
33	503	976
34	513	953
35	524	932
36	534	910
37	545	889
38	567	887
39	579	868
40	590	849
41	600	829
42	611	810
43	622	791
44	631	772
45	642	754
46	654	737
47	664	719
48	675	703
49	698	698
50	709	681
51	719	664
52	729	647
53	752	640
54	763	624
55	774	608
56	795	599
57	806	584
58	817	568
59	838	559
60	851	544
61	861	527
62	874	513
63	896	504
64	907	488
65	928	478
66	940	463
67	961	452
68	973	437
69	995	426
70	1009	412
71	1020	396
72	1030	381
73	1041	365
74	1051	350
75	1073	339
76	1084	324
77	1096	309
78	1106	294
79	1128	282
80	1140	267
81	1150	252
82	1161	237
83	1172	223
84	1182	208
85	1193	194
86	1214	181
87	1225	167
88	1237	152
89	1246	138
90	1257	124
91	1278	111
92	1290	97
93	1302	83
94	1313	69
95	1323	55
96	1336	41
97	1346	27
98	1368	13
99	1379	0
