review,sentiment
"This movie is up there with the all-time classics. The music, camera shots, and acting are excellent. Showing the movie in black and white gave it a much better appearance and complemented the music perfectly, like Psycho. Its surprising how so few people have commented on this movie. My guess is that its a hard movie to find. I gave the film a 9. See the movie and you'll know what I'm talking about.",positive
"I really really love this show! I have always liked the 1990's shows of Space Ghost! This show was hilarious and I can't believe why Cartoon Network's Adult Swim would take such a funny show like this off the air. I hope they put this show on DVD or something. The show is about Brak (from the Space Ghost cartoons, SGCC and Cartoon Planet) who lives his every day life with his Mom and Dad and his best friend who likes to drop in a lot, Zorak! My favorite episodes were the one where Zorak gets this really good singing voice and then his voice doesn't give him any money that Zorak made from singing at all. Another episode I like is the one where Brak and Zorak didn't finish their homework and then they go back from Sunday to Friday and they just goof off and then they go back to the day homework was invented and then when they go back to the present homework didn't exist! Another episode I like is the one where Brak's Dad and their next door neighbor, Thundercleese the Robot keep getting into this agrument and then they get eaten by a giant worm. Another episode I liked was the one where Zorak makes a bully stand and then some new guy took over his stand. I also like a lot of the other episodes! One thing that never fails to make me laugh is when Zorak is getting beaten up, blasted and zapped!",positive
"I thought this had the right blend of character, plot, futuristic stuff and special effects without going over board. It will take a while to get going, but the acting was good and I was intrigued by the angel who is not to hard to look at. I like the attitude too! Certainly not like other attempts at futuristic stories.",positive
I can't get over how lazy the director is with this movie. Instead of setting up scenes in a creative way he relies on boring old zombie clichés.<br /><br />Where the two unarmed leads have to get down the college steps into the van he surrounds them with zombies yet neither of the leads is bitten. He can't be bothered to direct a decent fight scene so we see the leads shove their way down the steps.<br /><br />Sometimes the zombies limp about and at others they run like the wind. This is really convenient for the director because he can set up anything he likes without bothering with continuity in the behaviour of the zombies.<br /><br />With careful planning and a lot more inspiration this movie could have been so much better.,negative
"This is one of the best and moodiest Vampire Tales ever! I love this movie really. The character are great, even the locations and the story. Indeed the Picture isn't a big budget production, but it is absolutely worth seeing.<br /><br />OK there are some faults (especially the Names of the Castle and the Locations) in this movie, but such mistakes are typically and are almost in every Horror Movie.<br /><br />The scenery fits perfect to the story and is close to reality,I can say that honest, because I visit them once when I was in Romania in my Vacations.<br /><br />In my opinion this is the Best Part of the Subspecies Series.",positive
"Solid comedy entertainment, with musical interludes, it generates a fast pace that carries proceedings along in zestful tempo through a maze of humorous and chiller complications. Boris Karloff, Bela Lugosi and Peter Lorre form a strong setup of sinister villainy. The script contains all the standard mystery film props-sliding panels, secret passageways, thunder and lightning and poisoned blow-darts. Karloff, Lugosi and Lorre go in for heavy leers and obvious melodramatics of the gaslit era. Kay Kyser and his band offered great entertainment for the people living in the 1940's who were trying to forget about the horror's of World War II.",negative
"I'm not really sure how to even begin to describe how bad this movie is. I like bad films, as they are often the most entertaining. I love bad special effects, bad acting, bad music, and inept direction. With the exception of the music (which was better than I had expected), this movie had all of those qualities. <br /><br />The special effects were amazingly bad. The worst I've seen since my Nintendo 64. Some scenes to watch for include the Thunderchild, the woman being crushed by the mechanical foot, the Big Ben scene, the train wreck... Wow, there are so many bad effects! On the plus side, though, SOME scenes of the alien walkers are well done.<br /><br />The acting was about as bad as it could possibly have been, having been based directly on H.G. Wells' book. For having such good source material, it's almost as though the actors were trying to be so over-the-top as to make it funny. And then there's the mustache... the single most distracting piece of facial hair I've seen in a long time. Of course, only half the movie contains acting. The rest is characters walking around aimlessly and poorly rendered effects shots.<br /><br />To say that Timothy Hines is an inept director would be an injustice to inept directors. With the use of different colored filters between shots for no particular reason, the use of poorly rendered backgrounds for even inside scenes, the bad green screening, it's amazing to me how this man ever got approval to direct a movie. I wouldn't imagine it would be possible to turn a brilliant book into this bad a movie. Bravo, Mr. Hines. Bravo. <br /><br />My advice to anyone who plans to see this movie is to do what I did: have some friends who enjoy bad movies over, drink, play poker while watching it, keep drinking, and maybe you'll make it all the way through. It does make for an excellent bad movie, so have fun and laugh yourself silly with this disaster.",negative
"Every time I watch this show I just want to turn it off and curse the makers for wasting my time week after week. The dialogs, or monologues rather, as everybody just rants on endlessly about nothing, are just becoming so tedious. For example, the episode I watched yesterday began with a seemingly unending rambling about how a particular dish (I forgot what it was, pasta with meatballs perhaps) always manages to turn the Gilmore family dinner into all-out war. And these were just the few seconds or so.<br /><br />So it seems every time, lots of lines, with absolutely zero content. The scripts they use must be enormous.<br /><br />But then every once in a while something happens. The babbling stops and suddenly there are these wonderful silent, emotional moments. For example, this week it was Lorelai's breakdown at the estate agent's. I just thought it was the best piece of TV I have seen for a long while.<br /><br />Almost makes everything worthwhile.",positive
"I enjoyed the previous Ittenbach movie that I'd seen, ""Burning Moon"". But while that movie was rather grim and nasty, ""Premutos"" seems to mostly play it for laughs. While its admirable how Ittenbach made this movie with no money in his spare time (and the DVD documentary is worthwhile to see this), I found myself constantly battling not to fast-forward to the next gore scene. Sure, there's gore, and if that's all you want then go ahead and enjoy. But be warned: there's an inordinate amount of lame comedy and tedious story exposition. Many are comparing this to Peter Jackson's movies, especially ""Braindead"". But looking at what Jackson did on a similar budget in ""Bad Taste"", it's clear Ittenbach is lacking one thing that Jackson has - talent. 3/10 (for pretty good and plentiful gore effects, and for getting the most out of limited resources - but not worth the money I paid for it)",negative
"Tyra Banks needs to teach these girls that it's not all about being beautiful on the outside. The inside counts for something too. A lot of the past winners have looked semi decent but are horribly cruel and starting trouble for the other girls. I see Tyra less involved with the girls in every season. About the only thing worth watching Top Model for is Mr. Jay Manuel. Recently, Tyra had a contestant who was a pre-op transsexual. I felt that she should have done more to encourage her. It was obvious that she had insecurities about her original anatomy showing through her feminine look. Tyra should have given her tips or perhaps she could have sent resident Trannie Ms. Jay to help the girl out. Instead, the contestant was met with harsh criticism and not enough positive criticism. It's a shame because I truly enjoyed the first 3 seasons. There's a reason why Project Runway has all 4 seasons out on DVD and Top Model only has 1 season on DVD. It's called taste. Top Model seriously needs a lot of revamping an some more humanity.",negative
"Nothing really unpredictable in this movie, but a solid flick in all respects. Everything from acting to cinematography was solid. Not a perfectly linear plot line, but there wasn't anything you couldn't see coming. Perhaps a tad melodramatic at points, but again, a fairly decent movie none the less. Definitely worth checking out. If in doubt of what film to rent over the weekend, give this a go. Though you may not feel like running out and buying it, I found it to be quite worth while.",positive
"I first saw this movie when I was very little. I was born in 1985, so it was around the age when 80s cartoons were big. My mother taped it one day thinking I might like it. I had never even heard of the Rainbow Bright TV show before I was introduced to the movie. When I saw it (on one of those old BETA tapes...) I loved it. I became addicted to it. There are people who say it's badly written and all that, but it's a kid's movie, and things like that don't matter much to children. I loved the story, and especially liked the songs and all the female characters. Of course I pretended to be them, and in the scene where Rainbow first met Krys and they were repulsed they had to work with the opposite sex, I could totally relate. The story was the basic good vs. evil that children enjoy, and there were enough happy moments to balance out the scary ones. The world is a fantastic place that would stimulate the imagination of any young child. I am very glad I had an opportunity to see this movie when I was little. It made a big impact, and watching it now brings back happy memories of childhood. I would recommend to any parent with young children to rent this movie. It will trigger their imagination and provide plenty of entertainment. You're only a child once, so don't let them miss out on this one!",positive
"Just bought the VHS on this film for two bucks, Did I waste my money! Hey, I dig Adam ""Batman"" West and Tina ""Giligan's Island"" Louise, but hello! This third rate production is a rehash of a dozen other biker films; crazed bunch of bikers psychos ride into a hick town, beat up everybody and everything, and then are defeated in the man by a dashing hero. Adam West looks the part as a hero, but he's missing cape, and his Batman uniform. Sorry, just isn't the same. Tina L. looks really nervous and frightened the whole show, but at least we know what happened to ""Ginger"" once she was rescued from the island...LOL! The bikers are a motley group, and known of them ever acted again or at least shouldn't have. Hell Riders is Hell to Watch!",negative
